2023-01-27, 21:21:44.442, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:22:54.378, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99998193138137% complete 
2023-01-27, 21:22:55.057, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:22:57.307, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:22:57.408, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:22:59.910, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99998012451987% complete 
2023-01-27, 21:23:01.374, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:23:01.656, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:23:02.735, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:23:02.996, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:23:09.551, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:23:10.222, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99997614942478% complete 
2023-01-27, 21:23:11.063, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:23:16.707, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:23:17.817, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99997361981899% complete 
2023-01-27, 21:23:17.876, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:23:19.362, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:23:23.471, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:23:24.063, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99997109021332% complete 
2023-01-27, 21:23:25.303, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99997072884109% complete 
2023-01-27, 21:23:26.562, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99997036746888% complete 
2023-01-27, 21:23:27.994, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:23:33.613, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:23:33.888, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:23:34.103, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:23:34.416, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99996783786337% complete 
2023-01-27, 21:23:39.888, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:23:40.721, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99996530825798% complete 
2023-01-27, 21:23:41.305, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:23:45.366, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:23:47.062, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:23:48.184, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:23:49.423, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:23:50.052, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99996169453624% complete 
2023-01-27, 21:23:50.309, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:23:53.505, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:23:53.571, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:23:54.712, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:23:54.928, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:23:55.799, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99995988767546% complete 
2023-01-27, 21:23:56.674, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:24:01.995, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:02.141, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:24:02.957, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:24:06.401, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:06.432, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99995591258201% complete 
2023-01-27, 21:24:06.632, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:24:08.712, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:08.813, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:24:10.077, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:24:11.892, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99995410572143% complete 
2023-01-27, 21:24:14.205, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:14.659, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:24:15.714, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:15.887, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:24:17.201, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:24:19.382, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99995121474467% complete 
2023-01-27, 21:24:23.126, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:23.361, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:24:24.429, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:24.618, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:24:25.472, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:24:28.785, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99994796239599% complete 
2023-01-27, 21:24:29.767, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:29.961, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:24:33.600, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:24:38.024, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99994434867553% complete 
2023-01-27, 21:24:38.723, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:24:39.071, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:39.322, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99994398730348% complete 
2023-01-27, 21:24:40.129, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:40.193, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:24:40.895, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:24:43.598, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99994254181537% complete 
2023-01-27, 21:24:45.012, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:24:47.247, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:47.327, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:24:47.941, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.9999410963273% complete 
2023-01-27, 21:24:50.202, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99994001221127% complete 
2023-01-27, 21:24:53.136, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:24:55.483, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:24:59.541, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99993675986335% complete 
2023-01-27, 21:25:02.779, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99993567574742% complete 
2023-01-27, 21:25:03.258, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:25:03.537, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:25:09.441, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:25:10.593, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:25:11.564, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:25:13.104, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99993170065586% complete 
2023-01-27, 21:25:14.683, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:25:15.804, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:25:19.699, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:25:19.988, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:25:21.401, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.9999288096804% complete 
2023-01-27, 21:25:29.154, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:25:29.762, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:25:29.824, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:25:30.884, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:25:31.167, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:25:31.289, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:25:31.633, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.9999251959613% complete 
2023-01-27, 21:25:32.224, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:25:37.868, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99992302772995% complete 
2023-01-27, 21:25:41.403, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:25:42.278, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:25:42.524, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:25:44.366, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:25:45.179, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99992013675498% complete 
2023-01-27, 21:25:49.575, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:25:51.426, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99991796852387% complete 
2023-01-27, 21:25:51.667, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:25:51.667, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:25:51.989, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:25:55.057, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:25:55.114, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:25:58.779, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99991543892101% complete 
2023-01-27, 21:26:00.794, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:03.184, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:26:03.418, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:26:09.020, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99991146383108% complete 
2023-01-27, 21:26:10.936, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:12.094, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:12.476, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:26:12.656, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:26:13.714, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:26:14.045, [info], integrity_check; ethereum; https://eth.llamarpc.com; Integrity check passed 
2023-01-27, 21:26:15.322, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99990929560033% complete 
2023-01-27, 21:26:17.214, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:21.558, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.9999071273697% complete 
2023-01-27, 21:26:22.104, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:26:24.331, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:27.163, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:26:28.241, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:26:29.804, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99990423639564% complete 
2023-01-27, 21:26:31.313, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:26:31.443, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:32.591, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:36.374, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:26:37.057, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99990134542175% complete 
2023-01-27, 21:26:38.767, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:39.327, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99990062267831% complete 
2023-01-27, 21:26:39.886, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:41.063, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:42.180, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:42.429, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-27, 21:26:42.567, [info], availability_check; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99989953856317% complete 
2023-01-27, 21:26:44.298, [info], availability_check; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-27, 21:26:44.536, [info], availability_check; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
